Index,Year,Name,RuTerm,RuTerm_filtered,YAKE
149,2018,Kirillova,"разметка, pymorphy2, результаты, полная морфологическая разметка, частеречной разметка, система, обучающий корпус, тексты, текст, такой образ","разметка, результаты, полная морфологическая разметка, частеречной разметка, система, обучающий корпус, тексты, текст, такой образ, русский язык","NLTK, разметки, Universal Dependencies, морфоанализатора, Dialogue Evaluation, НКРЯ, текстов, работы морфоанализатора, частеречной разметки, OpenCorpora"
150,2018,Kogan,"корпус, лексические пучки, специальные цели, английский язык, список, немецкое язык, немецкий язык, корпусный менеджер, слова, antconc","корпус, лексические пучки, специальные цели, английский язык, список, немецкое язык, немецкий язык, корпусный менеджер, слова, частотные слова","слов, лексических пучков, частотных слов, the, лексических, языка, специальных целей, корпуса, пучков, частотных лексических"
151,2018,Martynenko,"рассказ, русский язык, русский рассказ, ю, жанр, век, русская формальная школа, русские писатели, сторона, произведения","рассказ, русский язык, русский рассказ, жанр, русская формальная школа, русские писатели, сторона, произведения, основа, лингвист","антологии русского, антологии, русского, русского языка, русского рассказа, языка, русской, рассказа, русской формальной, литературы"
152,2018,Masevich,"рис, фамилия, имя, графика, форма, кривые, кривая, товарищ, сталин, ельцин","фамилия, графика, форма, кривые, кривая, товарищ, сталин, ельцин, частотное поведение, хрущёв","Google Books, Winston Churchill, Ngram Viewer, Books Ngram, Churchill, рис, частотного поведения, имен, рис., кривые"
153,2018,Mikoni,"отношение, пример, a, понятие, объём, æ, b, è, понятие a, агрегат","отношение, пример, понятие, объём, агрегат, роль, женщина, содержание, связь, понятия","понятия, понятий, Понятие, связи, содержание понятия, является, Отношение, связь, деления, abi"
154,2018,Mochalova,"предложения, вопросно-ответная система, работа, лес, символ, x, пример, список, синтаксема, онтология","предложения, вопросно-ответная система, работа, символ, пример, список, синтаксема, онтология, море, узлы онтологии","текста, онтологии, itfru, системы, вопросно-ответной системы, частей текста, обработки текста, ПРИЗНАК, ДЕЙСТВИЕ, СИМВОЛ"
155,2018,Raikov,"когнитивная модель, глубокое обучение, настоящая работа, нейронная сеть, большие данные, число, факторы, учёт, участники, рисунок","когнитивная модель, глубокое обучение, настоящая работа, нейронная сеть, большие данные, число, факторы, учёт, участники, рисунок","когнитивной модели, модели, когнитивной, настоящей работе, принятия решения, решения, данных, глубокого обучения, документов, факторов"
156,2018,Sagmanova,"вопросительные реплики, опора, информант, первичная функции, структура, материал, количество, ударные слоги, сборник материалов, русский язык","вопросительные реплики, опора, информант, первичная функции, структура, материал, количество, ударные слоги, сборник материалов, русский язык","ВОПРОСИТЕЛЬНЫХ РЕПЛИК, РЕПЛИК, КРАТКИХ ВОПРОСИТЕЛЬНЫХ, ВОПРОСИТЕЛЬНЫХ, ОСОБЕННОСТИ РЕАЛИЗАЦИИ, РЕАЛИЗАЦИИ КРАТКИХ, РЕЧИ, реализации вопросительных, устной речи, ДИАЛОГИЧЕСКОЙ РЕЧИ"
157,2018,Sampetova,"слово, замена, w, автоматическое исправление опечаток, буква, клавиатура, вероятность, социальные сети, русский язык, каждое слово","слово, замена, автоматическое исправление опечаток, буква, клавиатура, вероятность, социальные сети, русский язык, каждое слово, триграмм","ИСПРАВЛЕНИЯ ОПЕЧАТОК, АВТОМАТИЧЕСКОГО ИСПРАВЛЕНИЯ, РЕАЛИЗАЦИЯ АЛГОРИТМА, ОПЕЧАТОК, ИСПРАВЛЕНИЯ, АЛГОРИТМА, АВТОМАТИЧЕСКОГО, слово, слова, РУССКОЯЗЫЧНЫХ ТЕКСТАХ"
158,2018,Shukshina,"русский язык, группа, основные цвета, словарь, слово, слова, процент употребления, цвет, оттенки, значение","русский язык, группа, основные цвета, словарь, слово, слова, процент употребления, цвет, оттенки, значение","основных цветов, русского языка, слова, слов, цвета, употребления, цветов, группы, значений, основных"
