nltk,razdel,segtok,pymorphy,spacy,stanza,moses,ufal
минуту,минуту,в,минуту,что,обязательного,",",обязательного
вы,вы,угол,вы,вы,.,что,.
имеете,имеете,",",имеете,не,Мысль,добровольное,Мысль
право,право,вспоминал,право,высидите,",",заточение,","
выйти,выйти,всё,выйти,дольше,что,гораздо,что
на,на,это,на,.,каждую,тяжелее,каждую
свободу,свободу,и,свободу,Не,минуту,обязательного,минуту
",",",",спрашивал,",",забывайте,вы,.,вы
отравит,отравит,себя,отравит,также,имеете,Мысль,имеете
вам,вам,:,вам,",",право,",",право
в,в,—,в,несчастный,выйти,что,выйти
каземате,каземате,К,каземате,",",на,каждую,на
всё,всё,чему,всё,что,свободу,минуту,свободу
ваше,ваше,это,ваше,добровольное,",",вы,","
существование,существование,пари,существование,заточение,отравит,имеете,отравит
.,.,?,.,гораздо,вам,право,вам
Мне,Мне,Какая,Мне,тяжелее,в,выйти,в
жаль,жаль,польза,жаль,обязательного,каземате,на,каземате
вас,вас,от,вас,.,всё,свободу,всё
!,!,того,!,Мысль,ваше,",",ваше
И,И,",",И,",",существование,отравит,существование
теперь,теперь,что,теперь,что,.,вам,.
банкир,банкир,юрист,банкир,каждую,Мне,в,Мне
",",",",потерял,",",минуту,жаль,каземате,жаль
шагая,шагая,пятнадцать,шагая,вы,вас,всё,вас
из,из,лет,из,имеете,!,ваше,!
угла,угла,жизни,угла,право,И,существование,И
в,в,",",в,выйти,теперь,.,теперь
угол,угол,а,угол,на,банкир,Мне,банкир
",",",",я,",",свободу,",",жаль,","
вспоминал,вспоминал,брошу,вспоминал,",",шагая,вас,шагая
всё,всё,два,всё,отравит,из,!,из
это,это,миллиона,это,вам,угла,И,угла
и,и,?,и,в,в,теперь,в
спрашивал,спрашивал,Может,спрашивал,каземате,угол,банкир,угол
себя,себя,ли,себя,всё,",",",",","
:,:,это,:,ваше,вспоминал,шагая,вспоминал
—,—,доказать,—,существование,всё,из,всё
К,К,людям,К,.,это,угла,это
чему,чему,",",чему,Мне,и,в,и
это,это,что,это,жаль,спрашивал,угол,спрашивал
пари,пари,смертная,пари,вас,себя,",",себя
?,?,казнь,?,!,:,вспоминал,:
Какая,Какая,хуже,Какая,"
",—,всё,—
польза,польза,или,польза,И,К,это,К
от,от,лучше,от,теперь,чему,и,чему
того,того,пожизненного,того,банкир,это,спрашивал,это
",",",",заключения,",",",",пари,себя,пари
что,что,?,что,шагая,?,:,?
юрист,юрист,Нет,юрист,из,Какая,—,Какая
потерял,потерял,и,потерял,угла,польза,К,польза
пятнадцать,пятнадцать,нет.,пятнадцать,в,от,чему,от
лет,лет,Вздор,лет,угол,того,это,того
жизни,жизни,и,жизни,",",",",пари,","
",",",",бессмыслица.,",",вспоминал,что,?,что
а,а,С,а,всё,юрист,Какая,юрист
я,я,моей,я,это,потерял,польза,потерял
брошу,брошу,стороны,брошу,и,пятнадцать,от,пятнадцать
два,два,то,два,спрашивал,лет,того,лет
миллиона,миллиона,была,миллиона,себя,жизни,",",жизни
?,?,прихоть,?,:,",",что,","
Может,Может,сытого,Может,"
",а,юрист,а
ли,ли,человека,ли,—,я,потерял,я
это,это,",",это,К,брошу,пятнадцать,брошу
доказать,доказать,а,доказать,чему,два,лет,два
людям,людям,со,людям,это,миллиона,жизни,миллиона
",",",",стороны,",",пари,?,",",?
что,что,юриста,что,?,Может,а,Может
смертная,смертная,—,смертная,Какая,ли,я,ли
